Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species,Host Genus,Host Family,Host Order,Year isolated,Longitude,Latitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
1,I,,12,,M10,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,120.071318,28.72590219,"Zhejiang, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
2,I,,12,,M11,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,120.071318,28.72590219,"Zhejiang, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
5,I,,12,,R288,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,1988,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,GQ907153,AY756797,,"Lebeau 2011, https://doi.org/10.1094/PHYTO-02-10-0048",2011,Darrielle Williams,
6,I,,12,,R292,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,AF295255,AY756801,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
8,I,,12,,RUN90,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
9,I,,12,,RUN91,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
10,I,,13,,Bp1,,,Momordica charantia (Bitter Melon),Momordica charantia,Momordica,Cucurbitaceae,Cucurbitales,,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
11,I,,13,,C01,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2015,98.9858802,18.7882778,"Ching Mai, Thailand",Thailand,South-Eastern Asia,Asia,,,,MG136851,,,"Thano 2018, https://doi.org/10.1111/lam.12857",2018,Kyle Chipman,
13,I,,13,,CFBP7058,CMR134,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,2005,11.2205928,4.7399331,"Bafia, Cameroon",Cameroon,Middle Africa,Africa,,,,EF439740,EF439794,,"Thano 2018, https://doi.org/10.1111/lam.12857",2018,Kyle Chipman,
14,I,,13,,CLss8,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2001,120.9686833,24.8066333,"Hsinchu, Northwest, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407316,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
16,I,,13,,Eu1,,,Eucalyptus pellita (Large-fruited Red Mahogany),,Eucalyptus,Myrtaceae,Myrtales,,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
17,I,,13,,FJNPSW-2,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
18,I,,13,,GDNX1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967611,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
19,I,,13,,GDNX3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967613,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
20,I,,13,,GDNX8,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967617,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
21,I,,13,,GXBSDB-1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
22,I,,13,,GXBSDB-2,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
23,I,,13,,HZAU095,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2014,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY605136,,,"Wang 2017, https://doi.org/10.1007/s12230-017-9576-2",2017,Kyle Chipman,
24,I,,13,,Ia?GzPy?07?1,,,Ipomoea aquatica (Water Spinach),Ipomoea aquatica,Ipomoea,Convolvulaceae,Solanales,2007,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY886493,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
25,I,,13,,JXGZSC-3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
26,I,,13,,Le?Zj?02?1,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2002,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KC441911,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
27,I,,13,,P7,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,108.7128129,23.6571493,"Sanmenjiang, Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
28,I,,13,,P824,,,Vaccinium Cyanococcus (Blueberry),Vaccinium sect. Cyanococcus,Vaccinium,Ericaceae,Ericales,2016,-82.03362976,28.94446471,"Florida, United States",United States (Continental),Northern America,North America,GCF_003576625.1,Contig (72),PacBio and Illumina,,,,"Bocsanczy 2019, http://doi.org/10.1128/MRA.01316-18",2019,Kyle Chipman,
30,I,,13,,Pss148,,,Strelitzia reginae (Bird of Paradise),Strelitzia reginae,Strelitzia,Strelitziaceae,Zingiberales,1989,120.6909167,23.90235,"Nantou, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407274,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
31,I,,13,,Pss167,,,Symphytum sp. (Comfrey),,Symphytum,Boraginaceae,Boraginales,1990,120.6909167,23.90235,"Nantou, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407279,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
32,I,,13,,Pss169,,,Annona squamosa (Sweetsop),Annona squamosa,Annona,Annonaceae,Magnoliales,1990,121.1506,22.7553667,"Taitung, South East, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407280,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
33,I,,13,,PSS216,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1996,120.9302294,23.777978,Taiwan,Taiwan,Eastern Asia,Asia,GCA_001876975.1,Contig(224),Illumina,EU407291,JF702697,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
34,I,,13,,Pw12,,,Ludwigia octovalvis (Mexican Primrose-willow),Ludwigia octovalvis,Ludwigia,Onagraceae,Myrtales,1996,120.449842,23.479958,"Chiayi, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407327,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
35,I,,13,,R99.1,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1999,-1.252144973,17.35033524,Mali,Mali,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
